Video_url,action
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_92 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_130 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_60 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_128 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_126 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_64 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_80 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_72 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_28 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_105 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_4 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_46 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_67 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_36 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_68 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_45 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_92 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_90 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_32 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_90 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_101 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_97 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_65 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_11 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_24 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_45 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_30 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_122 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_11 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_129 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_45 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_91 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_34 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_27 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_5 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_118 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_115 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_66 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_85 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_26 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_61 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponp90_03.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_96 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_96 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_3 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponmp7_16.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_105 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponsg553_01.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_125 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_33 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_101 .mp4,kill
